Year,Month,Day,Weekday,Hour,Laisvos_vietos
2023,November,17,Friday,18,0
2023,November,17,Friday,18,0
2023,November,17,Friday,18,0
2023,November,17,Friday,18,0
2023,November,17,Friday,18,1
2023,November,17,Friday,18,0
2023,November,17,Friday,19,7
2023,November,17,Friday,19,18
2023,November,17,Friday,19,20
2023,November,17,Friday,19,21
2023,November,17,Friday,19,17
2023,November,17,Friday,19,17
2023,November,17,Friday,20,17
2023,November,17,Friday,20,17
2023,November,17,Friday,20,24
2023,November,17,Friday,20,29
2023,November,17,Friday,20,31
2023,November,17,Friday,20,36
2023,November,17,Friday,21,36
2023,November,17,Friday,21,38
2023,November,17,Friday,21,43
2023,November,17,Friday,21,52
2023,November,17,Friday,21,60
2023,November,17,Friday,21,60
2023,November,17,Friday,22,60
2023,November,17,Friday,22,60
2023,November,18,Saturday,09,19
2023,November,18,Saturday,10,12
2023,November,18,Saturday,10,12
2023,November,18,Saturday,10,16
2023,November,18,Saturday,10,32
2023,November,18,Saturday,10,46
2023,November,18,Saturday,10,53
2023,November,18,Saturday,11,47
2023,November,18,Saturday,11,42
2023,November,18,Saturday,11,36
2023,November,18,Saturday,11,36
2023,November,18,Saturday,11,36
2023,November,18,Saturday,11,41
2023,November,18,Saturday,12,29
2023,November,18,Saturday,12,31
2023,November,18,Saturday,12,24
2023,November,18,Saturday,12,24
2023,November,18,Saturday,12,16
2023,November,18,Saturday,12,7
2023,November,18,Saturday,13,14
2023,November,18,Saturday,13,10
2023,November,18,Saturday,13,7
2023,November,18,Saturday,13,5
2023,November,18,Saturday,13,1
2023,November,18,Saturday,13,2
2023,November,18,Saturday,14,6
2023,November,18,Saturday,14,5
2023,November,18,Saturday,14,12
2023,November,18,Saturday,14,5
2023,November,18,Saturday,14,6
2023,November,18,Saturday,14,9
2023,November,18,Saturday,15,18
2023,November,18,Saturday,15,16
2023,November,18,Saturday,15,16
2023,November,18,Saturday,15,13
2023,November,18,Saturday,15,15
2023,November,18,Saturday,15,11
2023,November,18,Saturday,16,16
2023,November,18,Saturday,16,15
2023,November,18,Saturday,16,13
2023,November,18,Saturday,16,16
2023,November,18,Saturday,16,5
2023,November,18,Saturday,16,1
2023,November,18,Saturday,17,0
2023,November,18,Saturday,17,1
2023,November,18,Saturday,17,4
2023,November,18,Saturday,17,0
2023,November,18,Saturday,17,0
2023,November,18,Saturday,17,1
2023,November,18,Saturday,18,3
2023,November,18,Saturday,18,9
2023,November,18,Saturday,18,15
2023,November,18,Saturday,18,24
2023,November,18,Saturday,18,22
2023,November,18,Saturday,18,16
2023,November,18,Saturday,19,12
2023,November,18,Saturday,19,9
2023,November,18,Saturday,19,5
2023,November,18,Saturday,19,0
2023,November,18,Saturday,19,0
2023,November,18,Saturday,19,2
2023,November,18,Saturday,20,0
2023,November,18,Saturday,20,0
2023,November,18,Saturday,20,3
2023,November,18,Saturday,20,5
2023,November,18,Saturday,20,10
2023,November,18,Saturday,20,16
2023,November,18,Saturday,21,27
2023,November,18,Saturday,21,31
2023,November,18,Saturday,21,35
2023,November,18,Saturday,21,47
2023,November,18,Saturday,21,48
2023,November,18,Saturday,21,60
2023,November,18,Saturday,22,60
2023,November,19,Sunday,10,41
2023,November,19,Sunday,10,34
2023,November,19,Sunday,10,34
2023,November,19,Sunday,10,32
2023,November,19,Sunday,11,32
2023,November,19,Sunday,11,30
2023,November,19,Sunday,11,36
2023,November,19,Sunday,11,32
2023,November,19,Sunday,11,23
2023,November,19,Sunday,11,19
2023,November,19,Sunday,12,24
2023,November,19,Sunday,12,20
2023,November,19,Sunday,12,19
2023,November,19,Sunday,12,8
2023,November,19,Sunday,12,0
2023,November,19,Sunday,12,0
2023,November,19,Sunday,13,6
2023,November,19,Sunday,13,11
2023,November,19,Sunday,13,15
2023,November,19,Sunday,13,15
2023,November,19,Sunday,13,11
2023,November,19,Sunday,13,15
2023,November,19,Sunday,14,10
2023,November,19,Sunday,14,16
2023,November,19,Sunday,14,17
2023,November,19,Sunday,14,19
2023,November,19,Sunday,14,27
2023,November,19,Sunday,14,26
2023,November,19,Sunday,15,19
2023,November,19,Sunday,15,14
2023,November,19,Sunday,15,12
2023,November,19,Sunday,15,15
2023,November,19,Sunday,15,23
2023,November,19,Sunday,15,23
2023,November,19,Sunday,16,19
2023,November,19,Sunday,16,19
2023,November,19,Sunday,16,22
2023,November,19,Sunday,16,18
2023,November,19,Sunday,16,17
2023,November,19,Sunday,16,7
2023,November,19,Sunday,17,17
2023,November,19,Sunday,17,8
2023,November,19,Sunday,17,6
2023,November,19,Sunday,17,5
2023,November,19,Sunday,17,3
2023,November,19,Sunday,17,10
2023,November,19,Sunday,18,10
2023,November,19,Sunday,18,8
2023,November,19,Sunday,18,14
2023,November,19,Sunday,18,17
2023,November,19,Sunday,18,17
